state,action_0,action_1,action_2,action_3,action_4,action_5
0,0.0,0.0,0.0,0.0,0.0,0.0
1,-5.887084934721706,-5.766739189592805,-5.825863033674789,-5.792561420333397,-5.8081518279808675,-5.908055454157556
2,-32.79953976206194,-32.75505536603092,-32.755532872102435,-32.73237940539978,-32.79438616310445,-33.494805396249866
3,-5.054136466925315,-4.9833925195921305,-4.997850022084234,-4.99270850977697,-4.989314686772007,-6.124682388550916
4,-3.0738082042518475,-3.1822741287926526,-3.144289711241755,-3.0987631431100024,-2.3330923209869647,-3.8699970767660314
5,-8.010946154425909,-7.996135106889777,-7.968767941874678,-7.971604162572856,-8.590468722171273,-8.659015736094304
6,0.0,0.0,0.0,0.0,0.0,0.0
7,-32.5277193445793,-32.52695356640775,-32.5296362103015,-32.52060984599317,-33.85275418812221,-35.54666880090322
8,-3.5277678966712642,-3.4894259488307253,-3.48734617594162,-3.498055300681554,-4.8432083075222945,-3.9598942594883075
9,-4.720040351339281,-4.698807927552449,-4.668232536906906,-4.777521160881045,-5.740696720712304,-7.349063636979369
10,-38.78510008744826,-38.78568331979381,-38.77496972156143,-38.69930571500829,-38.92107098769992,-44.67096723602614
11,-42.706214569927056,-42.682150324686425,-42.64453271794689,-42.63007637408265,-46.88105806800284,-43.316663884205354
12,0.0,0.0,0.0,0.0,0.0,0.0
13,-37.52963022368079,-37.462874687132164,-37.510055389616824,-37.5030016139126,-37.66588765589506,-39.4125430102327
14,-50.469962362185626,-50.473811922145515,-50.49192382673307,-50.39836612520209,-51.242396726477565,-51.433685848915346
15,-7.430886568092974,-7.436800416188744,-7.382116190343073,-7.387408152962773,-8.655202688770062,-7.8227660112887865
16,-5.2032027131721375,-5.185348881283959,-5.190111651280361,-5.197901029441764,-6.753267866145132,-5.614380102944177
17,-31.90937846989476,-31.725389137403994,-31.737257460229152,-31.796717384842793,-32.5690243817298,-31.85144665938805
18,0.0,0.0,0.0,0.0,0.0,0.0
19,-3.6823410505162464,-3.700000000000003,-3.7480681163838243,-3.6976226761675646,-6.772725386236438,-7.060598382908473
20,-4.466512199600792,-4.395359129417252,-4.401530538956461,-4.380861490000003,-5.571006891843473,-5.0
21,-3.6901940931819066,-3.700000000000003,-3.7739880148655813,-3.6999639323687874,-3.7630639323687847,-3.7840584428538246
22,-32.504994650657075,-32.47521491714463,-32.44199970182743,-32.47810568856501,-33.104921630948304,-33.84615539369105
23,-1.9872377226926885,-1.9900000000000013,-1.951234092810945,-1.9000000000000012,-2.9290000000000003,-1.999546107149
24,0.0,0.0,0.0,0.0,0.0,0.0
25,-0.093708,-0.1,3.1334879217828924,1.8024857957477278,-0.7609344199999999,19.999271292211592
26,-5.267619260807278,-5.3806549595340725,-5.306954271449397,-5.248531786585699,-5.836030654196766,-5.371680182432838
27,-32.787852651822945,-32.7117876737404,-32.72046989139698,-32.76166034662658,-34.30458421269637,-32.718029384045174
28,-4.354102838386372,-4.295682989619891,-4.315556394693788,-4.380668858955077,-4.5631761298969336,-4.427729464250269
29,-2.19263228333192,-2.276285050403119,0.024761587948530034,-2.2000000000000015,-2.960103627012118,-2.496181206967612
30,0.0,0.0,0.0,0.0,0.0,0.0
31,-6.116156424241094,-6.0818932731359805,-6.082660007393513,-6.0407701579619735,-6.24063839113783,-6.284415239823523
32,-32.82546415446702,-32.788852493502425,-32.821377101624634,-32.83495226315357,-34.59135470143938,-34.10430920277754
33,-5.390001783009456,-5.389459189196222,-5.3978306874431405,-5.375341722910427,-6.613807939752704,-6.828687830614198
34,-3.8539738855641534,-3.700000000000003,-3.6789950206802104,-3.612918828623945,-3.9763725660671323,-4.749373620343681
35,-7.9359043082066725,-7.99863575775359,-7.972835060969869,-8.012242362420679,-8.624390697372961,-7.93878131905684
36,0.0,0.0,0.0,0.0,0.0,0.0
37,-32.53139059237167,-32.474531677183,-32.51230856661603,-32.51359667603387,-36.11447902856781,-32.8651324005076
38,-3.4804740614087466,-3.490000000000003,-3.498583092088081,-3.5098418241980864,-4.8297932206168355,-4.901858309208809
39,-4.715915740671902,-4.6749802752752965,-4.696935348990367,-4.696556628901399,-4.9281000000000015,-4.77327746469802
